"","Genus","Family","FruitLength"
"1","Albizia","Fabaceae",4.65629546817391
"2","Allophylus","Sapindaceae",1.8781584875
"3","Antirhea","Rubiaceae",2.014903021
"4","Aphloia","Aphloiaceae",1.6094379124341
"5","Aspidostemon","Lauraceae",3.28726854326667
"6","Breonia","Rubiaceae",2.79207993388235
"7","Bridelia","Phyllanthaceae",2.0220499205
"8","Burasaia","Menispermaceae",3.1004573855
"9","Calophyllum","Calophyllaceae",3.25652144227273
"10","Campnosperma","Anacardiaceae",1.975251763
"11","Campylospermum","Ochnaceae",1.818501439
"12","Canarium","Burseraceae",3.65559226586207
"13","Cinnamosma","Canellaceae",3.92558212033333
"14","Cryptocarya","Lauraceae",3.09514285595652
"15","Dalbergia","Fabaceae",4.009697655
"16","Diospyros","Ebenaceae",3.13732498471212
"17","Dracaena","Asparagaceae",2.53612482466667
"18","Dypsis","Arecaceae",2.54420483042202
"19","Ephippiandra","Monimiaceae",2.3139526865
"20","Eugenia","Myrtaceae",3.10969493683333
"21","Ficus","Moraceae",2.78619079975
"22","Garcinia","Clusiaceae",3.51355634725926
"23","Grewia","Malvaceae",2.51186564722
"24","Harungana","Hypericaceae",1.09861228866811
"25","Hyperacanthus","Rubiaceae",3.16894337888889
"26","Ludia","Salicaceae",2.65477834013333
"27","Macaranga","Euphorbiaceae",1.42391808614815
"28","Mammea","Calophyllaceae",3.54146026923077
"29","Mantalania","Rubiaceae",4.332267
"30","Melanophylla","Torricelliaceae",2.51063652933333
"31","Micronychia","Anacardiaceae",2.60801137842857
"32","Mimusops","Sapotaceae",3.69273215469231
"33","Noronhia","Oleaceae",2.88448466505714
"34","Oncostemum","Primulaceae",2.17771748483333
"35","Pandanus","Pandanaceae",3.15123065356897
"36","Paropsia","Passifloraceae",3.26291462283333
"37","Phyllarthron","Bignoniaceae",4.28356829809091
"38","Pittosporum","Pittosporaceae",2.3834656888
"39","Polyscias","Araliaceae",1.68151728005128
"40","Potameia","Lauraceae",3.45822966694444
"41","Symphonia","Clusiaceae",3.79410036346154
"42","Syzygium","Myrtaceae",2.5226156128
"43","Tambourissa","Monimiaceae",2.453120523
"44","Trilepisium","Moraceae",2.99573227355399
"45","Trophis","Moraceae",3.135494216
"46","Turraea","Meliaceae",2.21804087583333
"47","Uapaca","Phyllanthaceae",2.964085249375
"48","Weinmannia","Cunoniaceae",1.268800339
"49","Xylopia","Annonaceae",3.65779063505882
"50","Zanthoxylum","Rutaceae",1.99228492575
"51","Abrahamia","Anacardiaceae",3.17086497307143
"52","Artocarpus","Moraceae",4.00733318523247
"53","Plagioscyphus","Sapindaceae",3.615647507
"54","Solanum","Solanaceae",2.395765346875
"55","Trema","Cannabaceae",1.252762968
"56","Baudouinia","Fabaceae",3.4115888898
"57","Canephora","Rubiaceae",2.406945108
"58","Dichaetanthera","Melastomataceae",1.97943755
"59","Gaertnera","Rubiaceae",1.98100279441667
"60","Mascarenhasia","Apocynaceae",5.36171530933333
"61","Ravenala","Strelitziaceae",2.602689685
"62","Breonadia","Rubiaceae",2.17072140324312
"63","Canthium","Rubiaceae",2.17072140324312
"64","Gambeya","Sapotaceae",3.28759468631579
"65","Pauridiantha","Rubiaceae",2.17072140324312
"66","Voacanga","Apocynaceae",4.27260992782105
"67","Mangifera","Anacardiaceae",2.79550031909524
