"","Akomba","Bokombolo","Fitsidika","Fotsife","Kandrandra","Tsidy","Tsitsihy"
"Allophylus",0,0,0,8.5,0,0,0
"Calophyllum",9,0,20,0,43,73,129
"Canarium",0,14,40,34,86,146,258
"Canthium",0,0,0,25.5,0,0,0
"Dichaetanthera",0,0,0,476,0,0,0
"Diospyros",0,0,0,0,0,73,0
"Dypsis",0,7,0,0,0,0,0
"Gaertnera",0,0,0,25.5,0,0,193.5
"Gambeya",0,77,0,187,0,0,1419
"Garcinia",0,56,0,136,0,0,0
"Harungana",4225.5,0,0,7981.5,0,34273.5,0
"Oncostemum",0,0,0,34,0,0,0
"Pauridiantha",4.5,3.5,0,0,0,0,0
"Pittosporum",0,0,0,93.5,0,0,0
"Plagioscyphus",0,0,0,17,0,0,0
"Solanum",810,630,0,0,3870,6570,11610
"Symphonia",18,14,0,34,0,0,0
