"","Genus","Humans_eat","Humans_use","UseSum"
"1","Abrahamia",0,0.0493827160493827,14
"2","Albizia",1,0.580246913580247,137.5
"3","Allophylus",2.5,0.271604938271605,49.5
"4","Antirhea",0,0.555555555555556,124
"5","Aphloia",19,0.814814814814815,114
"6","Artocarpus",80,1,493
"7","Aspidostemon",1,0.382716049382716,84
"8","Bathiohamnus",1,0.345679012345679,54
"9","Baudouinia",2,0.975308641975309,204
"10","Blotia",0,0.37037037037037,60
"11","Breonadia",0,0.283950617283951,43
"12","Breonia",1,0.444444444444444,76
"13","Bridelia",2,0.962962962962963,213
"14","Burasaia",8,0.567901234567901,103
"15","Calophyllum",2,0.962962962962963,222
"16","Campnosperma",0,0.037037037037037,5
"17","Campylospermum",0,0.469135802469136,85
"18","Canarium",1,0.646090534979424,123.666666666667
"19","Canephora",0,0.0740740740740741,16
"20","Canthium",0,0.740740740740741,126
"21","Cassipourea",0,0.296296296296296,57
"22","Cryptocarya",0.25,0.740740740740741,172.25
"23","Cyathea",0,0.938271604938272,116
"24","Dalbergia",0.333333333333333,0.753086419753086,177
"25","Delonix",1,0.839506172839506,170
"26","Dichaetanthera",2,0.740740740740741,97
"27","Diospyros",0,0.353909465020576,73.3333333333333
"28","Dombeya",0,0.901234567901235,132
"29","Dracaena",11,0.962962962962963,198
"30","Dypsis",34.6666666666667,0.407407407407407,69.6666666666667
"31","Ephippiandra",1,0.703703703703704,146
"32","Fenerivia",0,0.234567901234568,29
"33","Ficus",22,0.366255144032922,78.6666666666667
"34","Gaertnera",1,0.148148148148148,17
"35","Gambeya",4,0.975308641975309,245
"36","Garcinia",2.33333333333333,0.60082304526749,137.333333333333
"37","Givotia",0,0.802469135802469,98
"38","Grewia",1.5,0.876543209876543,132.5
"39","Harungana",0,1,269
"40","Homalium",0,0.45679012345679,91
"41","Hyperacanthus",2,0.102880658436214,19
"42","Ludia",1,0.0740740740740741,18
"43","Macaranga",1,0.716049382716049,99
"44","Mammea",0,0.62962962962963,137
"45","Mangifera",80,1,404
"46","Mantalania ",0,0.308641975308642,59
"47","Mascarenhasia",0,0.555555555555556,29
"48","Melanophylla",1,0.62962962962963,122
"49","Micronychia",0,0,0
"50","Mimusops",1,0.728395061728395,167
"51","Noronhia",0,0.5,83
"52","Ocotea",1,0.962962962962963,248
"53","Oncostemum",2,0.679012345679012,114
"54","Pandanus",0,0.613168724279835,60
"55","Pauridiantha",4,0.17283950617284,19
"56","Phyllarthron",5,0.975308641975309,283
"57","Pittosporum",0,0.623456790123457,100.5
"58","Plagioscyphus",31,0.62962962962963,149
"59","Polyscias",0.6,0.340740740740741,46.6
"60","Potameia",0,0.271604938271605,53
"61","Ravenala",38,0.975308641975309,186
"62","Rhodolaena",0,0.111111111111111,14
"63","Solanum",4,0.95679012345679,117
"64","Symphonia",0.5,0.320987654320988,74
"65","Syzygium",20.5,0.697530864197531,182
"66","Tambourissa",2,0.51440329218107,106
"67","Trema",0,0.987654320987654,214
"68","Trilepisium",4,0.395061728395062,85
"69","Trophis",4,0.962962962962963,246
"70","Turraea",18,0.753086419753086,144
"71","Uapaca",2,0.530864197530864,126
"72","Vernonia",5,0.901234567901235,95
"73","Voacanga",0,0.728395061728395,97
"74","Weinmannia",1,0.901234567901235,247
"75","Xylopia",34,0.407407407407407,78
"76","Zanthoxylum",1,0.802469135802469,99
"77","sp10",0,0.530864197530864,84
"78","sp2",5,0.938271604938272,64
"79",NA,25.7460317460317,0.530276308054086,121.365079365079
