"","Genus","DBH"
"1","Abrahamia",5.2
"2","Albizia",7.61176470588235
"3","Allophylus",12.2
"4","Antirhea",76.75
"5","Aphloia",10.7636363636364
"6","Artocarpus",13.1666666666667
"7","Aspidostemon",21.575
"8","Bathiohamnus",7.4
"9","Baudouinia",29.4107142857143
"10","Blotia",6.8
"11","Breonadia",11.9852941176471
"12","Breonia",10.5
"13","Bridelia",15
"14","Brochoneura",10.7857142857143
"15","Burasaia",8.1
"16","Calophyllum",17.2875
"17","Campnosperma",17.1341463414634
"18","Campylospermum",43.5
"19","Canarium",22.0970760233918
"20","Canephora",10.4545454545455
"21","Canthium",9.18938547486034
"22","Cassipourea",27.75
"23","Chapelieria",13.9344827586207
"24","Chassalia",5.6
"25","Cinnamosma",7.32
"26","Cryptocarya",15.3834439834025
"27","Cyathea",8.44521510096576
"28","Dalbergia",7
"29","Delonix",6.66666666666667
"30","Dichaetanthera",8.31447368421053
"31","Diospyros",9.98936170212766
"32","Dombeya",9.37022471910112
"33","Dracaena",9.45428571428571
"34","Dypsis",14.1740890688259
"35","Ephippiandra",10.7166666666667
"36","Eugenia",15.15
"37","Fenerivia",22.4848484848485
"38","Ficus",15.7055555555556
"39","Gaertnera",7.76422764227642
"40","Gambeya",13.1444444444444
"41","Garcinia",12.3247252747253
"42","Givotia",7.084
"43","Grewia",11.4953125
"44","Harungana",7.12528977871444
"45","Homalium",13.5594202898551
"46","Hyperacanthus",9.96983240223464
"47","Leea",5.26666666666667
"48","Ludia",9.15714285714286
"49","Macaranga",8.33203125
"50","Mammea",13.2672727272727
"51","Mangifera",17.0125
"52","Mantalania ",15.965625
"53","Mascarenhasia",12.4891891891892
"54","Melanophylla",9.05
"55","Micronychia",11.0818181818182
"56","Mimusops",21.6266666666667
"57","Noronhia",15.5
"58","Ocotea",22.1548148148148
"59","Oncostemum",8.29322033898305
"60","Pandanus",12.5366279069767
"61","Paropsia",5.33333333333333
"62","Pauridiantha",6.5
"63","Pentachleaena",20.5
"64","Persea",8.4
"65","Phyllarthron",13.7764705882353
"66","Pittosporum",8.52413793103448
"67","Plagioscyphus",7.35
"68","Polyscias",9.46714285714286
"69","Potameia",17.8503225806452
"70","Psiadia",9
"71","Ravenala",23
"72","Rhodolaena",13.4
"73","Solanum",5.88444444444444
"74","Symphonia",14.6547169811321
"75","Syzygium",13.6915417558886
"76","Tambourissa",13.2654205607477
"77","Trema",7.07181628392484
"78","Trilepisium",11.3088235294118
"79","Trophis",14.0772727272727
"80","Turraea",11.2833333333333
"81","Uapaca",20.1464788732394
"82","Vernonia",7.63777777777778
"83","Voacanga",8.935
"84","Weinmannia",19.7463157894737
"85","Xylopia",11.6166666666667
"86","Zanthoxylum",8.68
"87","sp1",7.4
"88","sp10",28.5
"89","sp12",47.5
"90","sp15",6.525
"91","sp16",7.87272727272727
"92","sp18",11
"93","sp19",28.0333333333333
"94","sp2",15
"95","sp20",8.2
"96","sp4",12
"97","sp5",8
"98","sp6",26.875
"99","sp7",8.2
"100","sp8",5
"101",NA,10.1461538461538
