"","Node","ModuleID"
"1","E. albifrons",5
"2","H. occidentalis",6
"3","L. seali",1
"4","A. laniger",2
"5","A. trichotis",1
"6","P. candidus",4
"7","E. rubriventer",3
"8","M. lehilahytsara",1
"9","C. crossleyi",1
"10","Albizia",4
"11","Allophylus",2
"12","Aphloia",4
"13","Calophyllum",1
"14","Campylospermum",2
"15","Canarium",1
"16","Canthium",2
"17","Cinnamosma",3
"18","Cryptocarya",3
"19","Dichaetanthera",2
"20","Diospyros",1
"21","Dracaena",4
"22","Dypsis",6
"23","Eugenia",2
"24","Ficus",3
"25","Gaertnera",1
"26","Gambeya",1
"27","Garcinia",2
"28","Grewia",3
"29","Harungana",5
"30","Mammea",3
"31","Mascarenhasia",5
"32","Mimusops",4
"33","Noronhia",4
"34","Oncostemum",2
"35","Pauridiantha",5
"36","Phyllarthron",5
"37","Pittosporum",2
"38","Polyscias",4
"39","Potameia",3
"40","Ravenala",1
"41","Symphonia",2
"42","Syzygium",4
"43","Tambourissa",3
"44","Turraea",3
"45","Uapaca",2
"46","Weinmannia",3
