"","Guild","Habitat","Interaction","Type","Robustness","SD"
"1","Lemur","Primary","Dispersal","Rewiring",0.723,0.035
"2","Lemur","Primary","Dispersal","Rewiring Not Included",0.674,0.035
"3","Plant","Primary","Dispersal","Rewiring",0.969,0.004
"4","Plant","Primary","Dispersal","Rewiring Not Included",0.963,0.004
"5","Lemur","Secondary","Dispersal","Rewiring",0.758,0.013
"6","Lemur","Secondary","Dispersal","Rewiring Not Included",0.739,0.013
"7","Plant","Secondary","Dispersal","Rewiring",0.954,0.003
"8","Plant","Secondary","Dispersal","Rewiring Not Included",0.95,0.003
"9","Lemur","Multilayer","Dispersal","Rewiring",0.574,0.012
"10","Lemur","Multilayer","Dispersal","Rewiring Not Included",0.556,0.012
"11","Plant","Multilayer","Dispersal","Rewiring",0.752,0.009
"12","Plant","Multilayer","Dispersal","Rewiring Not Included",0.74,0.009
"13","Lemur","Primary","Predation","Rewiring",0.75,0.046
"14","Lemur","Primary","Predation","Rewiring Not Included",0.686,0.046
"15","Plant","Primary","Predation","Rewiring",0.936,0.015
"16","Plant","Primary","Predation","Rewiring Not Included",0.915,0.015
"17","Lemur","Secondary","Predation","Rewiring",0.721,0.032
"18","Lemur","Secondary","Predation","Rewiring Not Included",0.676,0.032
"19","Plant","Secondary","Predation","Rewiring",0.92,0.012
"20","Plant","Secondary","Predation","Rewiring Not Included",0.904,0.012
"21","Lemur","Multilayer","Predation","Rewiring",0.667,0.037
"22","Lemur","Multilayer","Predation","Rewiring Not Included",0.615,0.037
"23","Plant","Multilayer","Predation","Rewiring",0.896,0.016
"24","Plant","Multilayer","Predation","Rewiring Not Included",0.874,0.016
"25","Lemur","Primary","Herbivory","Rewiring",0.728,0.15
"26","Lemur","Primary","Herbivory","Rewiring Not Included",0.515,0.15
"27","Plant","Primary","Herbivory","Rewiring",0.959,0.098
"28","Plant","Primary","Herbivory","Rewiring Not Included",0.821,0.098
"29","Lemur","Secondary","Herbivory","Rewiring",0.649,0.092
"30","Lemur","Secondary","Herbivory","Rewiring Not Included",0.519,0.092
"31","Plant","Secondary","Herbivory","Rewiring",0.912,0.088
"32","Plant","Secondary","Herbivory","Rewiring Not Included",0.787,0.088
"33","Lemur","Multilayer","Herbivory","Rewiring",0.397,0.079
"34","Lemur","Multilayer","Herbivory","Rewiring Not Included",0.285,0.079
"35","Plant","Multilayer","Herbivory","Rewiring",0.568,0.06
"36","Plant","Multilayer","Herbivory","Rewiring Not Included",0.484,0.06
