"","Node","SecondaryForestModuleID","PrimaryForestModuleID"
"1","E. albifrons",8,8
"2","H. occidentalis",7,7
"3","L. seali",3,3
"4","A. laniger",5,5
"5","A. trichotis",4,4
"6","R1",8,2
"7","R10",7,2
"8","R11",2,2
"9","R12",4,5
"10","R13",NA,4
"11","R14",1,2
"12","R15",3,8
"13","R16",1,1
"14","R17",4,4
"15","R18",3,NA
"16","R19",7,NA
"17","R2",2,7
"18","R20",4,NA
"19","R21",3,NA
"20","R22",3,NA
"21","R23",8,NA
"22","R24",8,NA
"23","R25",5,NA
"24","R27",6,NA
"25","R28",6,NA
"26","R29",9,NA
"27","R3",NA,3
"28","R30",2,NA
"29","R31",1,NA
"30","R32",2,NA
"31","R33",6,NA
"32","R34",6,NA
"33","R35",7,NA
"34","R36",6,NA
"35","R4",1,8
"36","R5",7,5
"37","R6",3,3
"38","R7",6,NA
"39","R8",NA,3
"40","R9",6,5
"41","P. candidus",9,NA
"42","E. rubriventer",6,NA
"43","M. lehilahytsara",2,2
"44","C. crossleyi",1,1
