"","Plot.Number","Habitat","Abundance","GenusRichness","meanDBH","meanHeight","Diversity"
"1",1,"Primary",186,38,13.7634408602151,9.99837837837838,2.83475712791387
"2",2,"Primary",231,34,13.3008658008658,9.43722943722944,2.95920062370632
"3",3,"Secondary",165,6,7.70121212121212,5.61818181818182,2.81724704749991
"4",4,"Primary",314,35,11.9016878980892,6.50479233226837,2.79670194898661
"5",5,"Primary",194,36,14.0659793814433,7.3298969072165,2.970644758343
"6",6,"Primary",212,28,13.9066037735849,6.98104265402844,2.97490871251053
"7",7,"Primary",239,35,11.4891213389121,6.76359832635983,2.72484330243835
"8",8,"Primary",222,27,12.9810810810811,7.36486486486486,3.01830936565293
"9",9,"Primary",197,30,12.4644670050761,6.8469387755102,3.24456206532368
"10",10,"Primary",185,29,11.7091891891892,7.26486486486487,2.95064845720296
"11",11,"Primary",208,35,13.7456730769231,8.92740384615385,3.07576720738323
"12",12,"Primary",160,32,15.83,8.171974522293,2.30246490397946
"13",13,"Primary",125,31,16.7672,8.744,2.92718468895298
"14",14,"Secondary",57,8,6.67017543859649,4.35087719298246,1.75498015653037
"15",15,"Secondary",79,12,8.35384615384615,5.56075949367089,1.84204654964826
"16",16,"Secondary",90,17,7.06333333333333,4.35555555555556,2.12909627231874
"17",17,"Secondary",69,13,9.29420289855073,4.84057971014493,3.02067165913889
"18",18,"Secondary",241,12,8.20375,6.93775933609958,2.48551302611032
"19",19,"Secondary",137,6,5.77777777777778,3.45182481751825,1.4904600001956
"20",20,"Secondary",89,10,6.08068181818182,3.32584269662921,2.56945750764772
"21",21,"Secondary",146,13,7.44366197183099,4.62328767123288,1.4598311328813
"22",22,"Secondary",197,24,7.27055837563452,4.61421319796954,1.6085193017617
"23",23,"Secondary",128,18,9.20703125,6.12890625,1.35346554818253
"24",24,"Secondary",79,30,9.46708860759494,6.0126582278481,2.27902635037256
"25",25,"Secondary",101,23,9.3970297029703,6.15841584158416,2.05582450390695
"26",26,"Secondary",103,5,6.02427184466019,4.55339805825243,1.78718911954745
"27",27,"Secondary",187,6,5.5903743315508,3.6096256684492,1.47066270243939
"28",28,"Secondary",117,35,8.9008547008547,6.25641025641026,1.17569537694251
"29",29,"Secondary",108,13,6.57407407407407,4.5188679245283,1.01640838997855
"30",30,"Secondary",180,26,10.135,7.08888888888889,1.20643837269851
"31",31,"Secondary",157,8,5.97388535031847,4.17197452229299,1.41771299185998
"32",32,"Secondary",112,2,5.73035714285714,4.39732142857143,0.359023810488627
"33",33,"Primary",330,35,10.8078787878788,6.42401215805471,3.04046097041795
"34",34,"Primary",228,39,13.4394736842105,7.79824561403509,3.08612929075552
"35",35,"Primary",390,38,12.9389743589744,7.45435897435898,2.84398773205885
"36",36,"Primary",305,36,12.2744262295082,6.81475409836066,2.79300612349023
"37",37,"Primary",271,41,12.4464944649446,7.22777777777778,2.77714615328493
"38",38,"Primary",239,36,11.926359832636,6.94142259414226,2.71185196530795
"39",39,"Primary",298,40,12.211744966443,7.59328859060403,2.94497434030737
"40",40,"Primary",158,31,14.3886075949367,8.18670886075949,2.94719952962985
"41",41,"Primary",187,35,12.9941176470588,7.81016042780749,2.79343485625897
"42",42,"Primary",260,40,13.3915384615385,8.39230769230769,2.89425738428885
"43",43,"Primary",185,31,12.7367567567568,7.28648648648648,3.17100921001212
"44",44,"Primary",135,24,16.0392592592593,9.40740740740741,2.84755227666315
"45",45,"Primary",194,27,13.3994845360825,9.14432989690722,2.76877107872648
"46",46,"Primary",214,35,12.5551401869159,8.07943925233645,2.98486563802352
"47",47,"Primary",206,32,17.3665048543689,9.95631067961165,2.63813502416427
"48",48,"Primary",220,39,14.8722727272727,9.87272727272727,2.91861569392485
"49",49,"Primary",247,34,12.3967611336032,8.87449392712551,2.75957881323544
